OS Name = Unknown       City Name = aba Amount event per city =         2
OS Name = Unknown       City Name = alashan     Amount event per city =         3
OS Name = Unknown       City Name = aletai      Amount event per city =         2
OS Name = BlackBerry Tablet OS  City Name = anhui       Amount event per city =         1
OS Name = Unknown       City Name = anhui       Amount event per city =         32
OS Name = Unknown       City Name = ankang      Amount event per city =         8
OS Name = Unknown       City Name = anqing      Amount event per city =         15
OS Name = Unknown       City Name = anshan      Amount event per city =         10
OS Name = Unknown       City Name = anshun      Amount event per city =         5
OS Name = BlackBerry Tablet OS  City Name = anyang      Amount event per city =         4
OS Name = Unknown       City Name = anyang      Amount event per city =         14
OS Name = Bada  City Name = aomen       Amount event per city =         2
OS Name = Unknown       City Name = baicheng    Amount event per city =         4
OS Name = Unknown       City Name = baise       Amount event per city =         12
OS Name = Unknown mobile        City Name = baise       Amount event per city =         1
OS Name = Unknown       City Name = baishan     Amount event per city =         3
OS Name = Unknown       City Name = baiyin      Amount event per city =         4
OS Name = Unknown       City Name = bangbu      Amount event per city =         9
OS Name = Unknown       City Name = baoding     Amount event per city =         31
OS Name = Unknown       City Name = baoji       Amount event per city =         11
OS Name = Unknown       City Name = baoshan     Amount event per city =         3
OS Name = Unknown       City Name = baotou      Amount event per city =         13
OS Name = Unknown       City Name = bayannaoer  Amount event per city =         6
OS Name = BlackBerry Tablet OS  City Name = bayinguoleng        Amount event per city =         1
OS Name = Unknown       City Name = bayinguoleng        Amount event per city =         9
OS Name = Unknown       City Name = bazhong     Amount event per city =         7
OS Name = Symbian OS    City Name = beihai      Amount event per city =         1
OS Name = Unknown       City Name = beihai      Amount event per city =         5
OS Name = BlackBerry 7  City Name = beijing     Amount event per city =         4
OS Name = BlackBerry Tablet OS  City Name = beijing     Amount event per city =         20
OS Name = BlackBerryOS  City Name = beijing     Amount event per city =         4
OS Name = Chrome OS     City Name = beijing     Amount event per city =         4
OS Name = Maemo City Name = beijing     Amount event per city =         1
OS Name = MeeGo City Name = beijing     Amount event per city =         20
OS Name = Sony Playstation      City Name = beijing     Amount event per city =         6
OS Name = Symbian OS    City Name = beijing     Amount event per city =         1
OS Name = Symbian OS 9.x        City Name = beijing     Amount event per city =         3
OS Name = Unknown       City Name = beijing     Amount event per city =         2133
OS Name = Unknown mobile        City Name = beijing     Amount event per city =         8
OS Name = Unknown       City Name = benxi       Amount event per city =         5
OS Name = Unknown       City Name = bijie       Amount event per city =         10
OS Name = Unknown       City Name = binzhou     Amount event per city =         17
OS Name = Unknown       City Name = boertala    Amount event per city =         2
OS Name = Unknown       City Name = bozhou      Amount event per city =         7
OS Name = Unknown       City Name = cangzhou    Amount event per city =         16
OS Name = Unknown       City Name = changchun   Amount event per city =         54
OS Name = Unknown mobile        City Name = changchun   Amount event per city =         1
OS Name = Unknown       City Name = changde     Amount event per city =         8
OS Name = Unknown       City Name = changji     Amount event per city =         8
OS Name = Symbian OS    City Name = changsha    Amount event per city =         2
OS Name = Unknown       City Name = changsha    Amount event per city =         104
OS Name = Unknown mobile        City Name = changsha    Amount event per city =         1
OS Name = MeeGo City Name = changzhi    Amount event per city =         1
OS Name = Unknown       City Name = changzhi    Amount event per city =         10
